"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.53461116065,2.64640215450138,0.207266649761279,3.31025227951714,0.534611160649962,0.413606326260661,1,0.5,0.4,0.75,one_way
origin,10.6009644807955,2.88609629884563,0.325459156937022,2.89022566917216,0.600964480795495,0.21939541656317,1,0.5,0.4,0.75,roller_coaster
origin,5.84105919081631,1.67267283759215,0.358524982187585,1.83225488624658,0.841059190816305,0.251852196948339,0.925,0.5,0.4,0.75,05_05
origin,10.7072951137062,2.30319649028098,0.277741010743742,2.62679888850692,0.707295113706181,0.306799835098583,0.9974,0.5,0.4,0.75,10_05
origin,10.4559499658825,2.72437700866079,0.207889855024902,3.55339375001641,0.455949965882517,0.362220793191658,1,0.5,0.4,0.75,15_05
origin,10.7439703058543,1.99430057546084,0.631354220567651,2.07782439625037,0.743970305854348,0.209188511384608,0.9776,0.5,0.4,0.75,05_10
origin,10.6902138465615,2.44346278558415,0.55253125966563,2.47604815738085,0.690213846561522,0.252959442118971,0.9978,0.5,0.4,0.75,10_10
origin,10.4025905887413,3.29028141931677,0.347856853182968,3.64998610157914,0.402590588741348,0.296421186405804,1,0.5,0.4,0.75,15_10
origin,10.5002334851995,3.10096568854281,0.509730826752281,3.2065535033233,0.500233485199458,0.189136286671179,1,0.5,0.4,0.75,05_15
origin,10.5571187916269,2.85804248571894,0.577958147884649,2.96876546628227,0.557118791626905,0.22405659359094,1,0.5,0.4,0.75,10_15
origin,10.3529322476855,3.65329367226454,0.358729834174462,3.80827945604323,0.352932247685546,0.263363541945726,1,0.5,0.4,0.75,15_15
optimized,10.8185157676392,1.89193376165484,0.316363710715567,2.074988964271,0.818515767639153,0.362667211237033,0.9638,0.944675268605351,0.267220668727532,0.78293276228942,one_way
optimized,10.8315161773259,2.12574643654323,0.470576492165324,1.76737761972062,0.831516177325899,0.213305209566699,0.951,0.897722743433756,0.281542985007334,0.662600103232783,roller_coaster
optimized,10.8273223532655,1.7412604138619,0.347700939227675,1.99878951823326,0.827322353265535,0.230212975888301,0.9572,0.497699242085218,0.186217601411045,0.8612094768323,05_05
optimized,10.8396196337994,1.83300658924214,0.346532279751487,1.95753863844728,0.839619633799439,0.275505671364411,0.9508,0.688118535596341,0.278597612169475,0.765405693714585,10_05
optimized,10.7735445740081,2.40912390566326,0.276133063482821,2.2774898321528,0.773544574008081,0.346355880203042,0.9878,0.999316706949981,0.858091253167597,0.995790523363448,15_05
optimized,10.795666552287,1.73140394977076,0.682019622511309,1.81607544291789,0.795666552287043,0.209125793711394,0.9642,0.529803517304465,0.393201184185262,0.926671815570444,05_10
optimized,10.7938828900789,1.8610604972068,0.673722948146699,1.89221107621389,0.793882890078904,0.263156257458396,0.971,0.687908825270007,0.360848440436918,0.762156482660952,10_10
optimized,10.7012657846902,2.5378725729542,0.517011683653243,2.41861254031447,0.701265784690246,0.321682848158279,0.9984,0.999363847100546,0.674109619720964,0.973887209189369,15_10
optimized,10.7449385545172,1.76776924956664,0.827664139320117,1.99242261412317,0.744938554517154,0.196183713543178,0.952,0.944675268605351,0.267220668727532,0.78293276228942,05_15
optimized,10.7896558282623,1.44468284487923,0.909086502337776,1.73627426930077,0.789655828262315,0.377273307554598,0.9558,1,1,1,10_15
optimized,10.5705885528213,2.76317694177032,0.589833234854158,2.95092364045549,0.570588552821344,0.259927756214568,1,0.944675268605351,0.267220668727532,0.78293276228942,15_15
