"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.4412116925627,0.597203985824713,0.419974910789031,2.54417014740301,0.441211692562691,0.199025289514592,0.997,0.9,0.4,0.75,one_way
origin,10.601097949852,1.41348350025368,0.465283529211358,2.44530666234197,0.601097949852002,0.127399263641865,0.9968,0.9,0.4,0.75,roller_coaster
origin,10.589042591441,0.676338387657043,0.520582883180326,2.12742677451772,0.589042591440982,0.150934777551239,0.9772,0.9,0.4,0.75,05_05
origin,10.5867389978862,0.727564755662367,0.518492768265115,2.18635096922349,0.586738997886169,0.161678658324382,0.9864,0.9,0.4,0.75,10_05
origin,10.5861006290275,0.737293507049679,0.523560338264612,2.19136386609697,0.586100629027509,0.163542800637589,0.9896,0.9,0.4,0.75,15_05
origin,10.7480251979838,1.15618903305378,0.837990104067857,1.69589883289695,0.748025197983818,0.14400760261458,0.9572,0.9,0.4,0.75,05_10
origin,10.697986098586,1.24692460965035,0.812292254134772,1.92311086657919,0.697986098585997,0.162717669557848,0.9924,0.9,0.4,0.75,10_10
origin,10.6774975307086,1.29233719898033,0.797329995822301,2.03355922329072,0.677497530708585,0.17301136032668,0.9996,0.9,0.4,0.75,15_10
origin,10.7184316946708,2.03210486885326,0.738540702752238,2.19700040976209,0.718431694670797,0.134856686416228,0.9966,0.9,0.4,0.75,05_15
origin,10.6726877827222,2.03713251540179,0.751167390858106,2.25242447128082,0.67268778272216,0.145496695485214,0.9988,0.9,0.4,0.75,10_15
origin,10.5766628496171,2.10454936039695,0.730130395470547,2.50928328544627,0.576662849617104,0.170240684851718,1,0.9,0.4,0.75,15_15
optimized,10.5753912853756,0.619216188691318,0.424358458717602,2.27232739542634,0.575391285375571,0.20249463452497,0.9614,0.9,0.9,0.9,one_way
optimized,10.7582998348331,1.32248820252064,0.508185064539195,2.02875006615905,0.758299834833114,0.112474671671154,0.9658,0.944675268605351,0.267220668727532,0.78293276228942,roller_coaster
optimized,10.6130516995701,0.639374397866824,0.524502004202157,2.00946229844692,0.613051699570064,0.150244732164407,0.9576,0.946698936612759,0.461953533751266,0.737874000561408,05_05
optimized,10.6121960797926,0.713618923089411,0.521925065983803,2.0929390804314,0.61219607979265,0.161611251071463,0.981,0.9470176491184,0.480593460822053,0.736502551693908,10_05
optimized,10.6591823120928,0.585109839958594,0.553065081456644,1.84557744514254,0.659182312092801,0.159931034748298,0.9604,0.905858309565716,0.412410406185527,0.811541159251163,15_05
optimized,10.7480251979838,1.15618903305378,0.837990104067857,1.69589883289695,0.748025197983818,0.14400760261458,0.9572,0.9,0.4,0.75,05_10
optimized,10.7869943613379,1.06788402182869,0.881233831966885,1.49169236289255,0.786994361337924,0.166513291229904,0.9554,0.970006826100871,0.376489499923835,0.754589963815416,10_10
optimized,10.7862188176573,1.02122191290751,0.887805215022229,1.50135497573447,0.786218817657258,0.17044550221338,0.965,0.944675268605351,0.267220668727532,0.78293276228942,15_10
optimized,10.7184316946708,2.03210486885326,0.738540702752238,2.19700040976209,0.718431694670797,0.134856686416228,0.9966,0.9,0.4,0.75,05_15
optimized,10.8106276002017,1.83878361727985,0.835098531117801,1.7126134955781,0.810627600201671,0.139035945186255,0.9718,0.944675268605351,0.267220668727532,0.78293276228942,10_15
optimized,10.814672187111,1.78194595440455,0.871810607161613,1.61758777373362,0.814672187110981,0.152711183860376,0.9694,0.94125427056235,0.10212059924379,0.815733463313886,15_15
