"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.4607136246357,0.553908954895087,0.521224370860854,1.89467487428699,0.460713624635693,0.191125434814868,0.9994,0.95,0.4,0.75,one_way
origin,10.5511094080555,1.08455747539617,0.483603346174328,2.11138109241313,0.551109408055517,0.129552622646174,1,0.95,0.4,0.75,roller_coaster
origin,10.5724049623391,0.573371072241884,0.552872451989765,1.60269370330859,0.572404962339108,0.143910508035568,0.9816,0.95,0.4,0.75,05_05
origin,10.5739278017264,0.637024656356637,0.578031078923528,1.69958396776402,0.573927801726388,0.158384797496491,0.9922,0.95,0.4,0.75,10_05
origin,10.5712215874637,0.655681636779958,0.579642460961193,1.7292800987591,0.571221587463682,0.161623399218346,0.9934,0.95,0.4,0.75,15_05
origin,10.7279724805202,1.16071530173196,0.810026402816495,1.65483379525856,0.727972480520248,0.133665155312973,0.9944,0.95,0.4,0.75,05_10
origin,10.6827784662364,1.22032391766803,0.817036452774709,1.79468345476108,0.682778466236422,0.152905206357974,0.9992,0.95,0.4,0.75,10_10
origin,10.6515486845048,1.2712054319453,0.80339853765035,1.90090184571842,0.651548684504834,0.167451737518054,1,0.95,0.4,0.75,15_10
origin,10.6688676118562,1.96832355570618,0.698293994013229,2.15289944566012,0.668867611856223,0.12890216849508,1,0.95,0.4,0.75,05_15
origin,10.6731058242705,1.97076439512768,0.744445846490919,2.16115237089077,0.673105824270502,0.137910883920011,1,0.95,0.4,0.75,10_15
origin,10.5961606929777,2.02550353404002,0.721958284808507,2.32243582396042,0.596160692977718,0.163045324947805,1,0.95,0.4,0.75,15_15
optimized,10.6261421025007,0.645473800791378,0.492829932093368,1.77222795476702,0.626142102500686,0.202411946261087,0.9768,1,1,1,one_way
optimized,10.6470104863667,1.05145720213813,0.499284068192494,1.95711651534444,0.647010486366706,0.123930662186331,0.9972,0.918338458674938,0.596298297007905,0.881811817566002,roller_coaster
optimized,10.6131645645996,0.593487200731232,0.543115887990389,1.55282863767998,0.61316456459956,0.148301300381786,0.9624,0.900252819431302,0.657714599224332,0.88552674364538,05_05
optimized,10.6328190882608,0.602688094826929,0.592449710105016,1.54481433804176,0.632819088260821,0.156604108328697,0.9734,0.918641293186327,0.449946961967673,0.869916848462315,10_05
optimized,10.6052896678299,0.58000783551009,0.61644073128766,1.55907381582029,0.605289667829903,0.155368812553337,0.985,0.944675268605351,0.267220668727532,0.78293276228942,15_05
optimized,10.8290732573442,1.07402258146959,0.858840604080177,1.36334067608546,0.829073257344242,0.130330931287184,0.9662,0.918338458674938,0.596298297007905,0.881811817566002,05_10
optimized,10.8079509897944,1.04980040480719,0.917874339511766,1.27673354668157,0.807950989794358,0.197767242789623,0.957,0.994198889798655,0.818146056035255,0.997695267036947,10_10
optimized,10.7718767245681,1.17537022156556,0.834426133292561,1.59812498165932,0.771876724568092,0.207049019369439,0.9912,0.978309814801854,0.813296188956324,0.997576881834356,15_10
optimized,10.965212314962,1.81985228705872,0.792464791777353,1.55936410163093,0.965212314961958,0.114641650465139,0.9918,0.970006826100871,0.587708661027577,0.883734143637109,05_15
optimized,11.0460510026034,1.71248188596249,0.912143378592367,1.21539256106171,1.04605100260344,0.129219587360357,0.96,0.971213944925084,0.304803435690701,0.962581270722715,10_15
optimized,10.9200921395503,1.78466841411511,0.880980668405193,1.54367534654608,0.920092139550276,0.138669646146792,0.9994,0.969406529101704,0.10212059924379,0.88462484059246,15_15
