"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.171563238388,1.67943469746903,0.285057872338304,4.19181480330812,0.171563238387965,0.559227897973138,0.9984,0.9,0.4,0.75,one_way
origin,10.4116965262156,1.84810743971674,0.503714558491626,3.27249708876128,0.411696526215594,0.32920000879949,0.9936,0.9,0.4,0.75,roller_coaster
origin,10.3305214256565,1.08436189025102,0.381150876259062,3.56155915529389,0.330521425656533,0.43636123404459,0.9878,0.9,0.4,0.75,05_05
origin,10.2944131377077,1.32370313555112,0.366122622902534,3.74783211021466,0.294413137707731,0.473323071331266,0.995,0.9,0.4,0.75,10_05
origin,10.2919539253558,1.37802933250402,0.357718706501527,3.80368249781342,0.291953925355804,0.484077380621582,0.9956,0.9,0.4,0.75,15_05
origin,10.3277440433703,1.72517745130703,0.666385494052998,3.5395241206166,0.327744043370256,0.327248940532082,0.9952,0.9,0.4,0.75,05_10
origin,10.2690392925592,2.04264727777887,0.622059697062725,3.78448152562562,0.269039292559221,0.385202736402541,0.9978,0.9,0.4,0.75,10_10
origin,10.2431016586065,2.22221525172371,0.588103663025585,3.8543562420045,0.243101658606455,0.4065600460475,0.998,0.9,0.4,0.75,15_10
origin,10.2409529457996,3.0529632091822,0.523577377395187,4.015039059727,0.240952945799638,0.261838063518073,1,0.9,0.4,0.75,05_15
origin,10.2166546939581,3.11164282974454,0.505124171883554,4.12853511711185,0.216654693958095,0.278419589135328,1,0.9,0.4,0.75,10_15
origin,10.1674599351822,3.28389551118164,0.472812194757185,4.30475651389995,0.16745993518222,0.323033331891277,1,0.9,0.4,0.75,15_15
optimized,10.2151846418032,1.33378554909037,0.321793728716979,3.95287863939821,0.215184641803178,0.532022331024282,0.9906,0.944675268605351,0.267220668727532,0.78293276228942,one_way
optimized,10.4116965262156,1.84810743971674,0.503714558491626,3.27249708876128,0.411696526215594,0.32920000879949,0.9936,0.9,0.4,0.75,roller_coaster
optimized,10.3654174491772,0.905468986311727,0.396685137349863,3.33983277170573,0.365417449177233,0.416803607565698,0.9802,0.914547339219442,0.127805141479648,0.748926169314308,05_05
optimized,10.3478572935777,0.985335663218577,0.4004536501747,3.49286395657849,0.347857293577731,0.4402211301165,0.9876,0.934502165563765,0.158767627783597,0.741959735839304,10_05
optimized,10.3407989216839,1.1015688142798,0.396590916778534,3.54765574664049,0.340798921683887,0.451154842869431,0.991,0.911462484557628,0.115805630577922,0.747021210811169,15_05
optimized,10.4298359551878,1.38956445846835,0.718347171683202,3.09726377213025,0.429835955187776,0.343316135835809,0.966,0.944675268605351,0.267220668727532,0.78293276228942,05_10
optimized,10.3829430415382,1.61502047439388,0.69179888084702,3.38285378250127,0.382943041538246,0.372664389058858,0.979,0.944596863546442,0.292456919916704,0.812090838075548,10_10
optimized,10.3798767300591,1.53481097252479,0.715146519563379,3.31823900428995,0.3798767300591,0.407454862950911,0.967,0.939382852662584,0.294864515417536,0.924295968851241,15_10
optimized,10.7029236886947,2.28588663738203,0.723880340634669,2.20023111640093,0.702923688694672,0.272478428401355,0.9502,1,1,1,05_15
optimized,10.6453862285847,2.3819546559725,0.695736197843668,2.49622455749178,0.645386228584741,0.273739595101846,0.9798,0.991185428215232,0.10212059924379,0.969332820713492,10_15
optimized,10.4352765286738,2.70726302972034,0.623976271405953,3.35869399366925,0.43527652867375,0.305296979399974,0.9966,0.955350583373266,0.220285334142853,0.942451284714163,15_15
