"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","m","tau","theta","scenario"
origin,10.2604512311506,0.696619031372593,0.511461383970005,1.56808311326759,0.260451231150611,0.367974936739739,1,0.95,0.4,0.75,one_way
origin,10.5367677553354,0.815421020427615,0.452927504448198,1.41466102784685,0.536767755335402,0.229256351179171,1,0.95,0.4,0.75,roller_coaster
origin,10.5168459284586,0.572647708197529,0.571388258669548,1.10834582174952,0.516845928458585,0.239220536634574,0.9986,0.95,0.4,0.75,05_05
origin,10.4746635140643,0.706142671523188,0.567878040026116,1.33733199752684,0.474663514064347,0.281988450939737,1,0.95,0.4,0.75,10_05
origin,10.4525939844442,0.764836850181922,0.572157995634721,1.43151947017833,0.452593984444231,0.290825915549483,1,0.95,0.4,0.75,15_05
origin,10.6978953394318,0.960324088841533,0.745552587721095,1.29468380457927,0.69789533943182,0.21603226326976,1,0.95,0.4,0.75,05_10
origin,10.6349456064642,1.14610144658776,0.788118237458638,1.54023644280764,0.634945606464159,0.237712038979802,1,0.95,0.4,0.75,10_10
origin,10.5249275843045,1.25159528999637,0.756064766586344,1.74565900449947,0.524927584304467,0.284305082400923,1,0.95,0.4,0.75,15_10
origin,10.7204903409642,1.39895766445724,0.647591347003048,1.67194595696074,0.720490340964216,0.208580923440895,1,0.95,0.4,0.75,05_15
origin,10.7481756993984,1.58165964851968,0.778509225124347,1.74260597741831,0.748175699398364,0.222631016719796,1,0.95,0.4,0.75,10_15
origin,10.6054098686556,1.73263889557764,0.775439915607511,1.97737021539974,0.605409868655645,0.254704619992425,1,0.95,0.4,0.75,15_15
optimized,10.5149029593584,0.603702352496584,0.618284895686421,1.3072358022752,0.514902959358431,0.397898641581023,0.9762,0.962558851863873,0.537315939450988,0.985817073442498,one_way
optimized,10.745561604178,0.806362183951219,0.462029398405007,1.22016411471235,0.745561604178045,0.24142910064075,1,0.918338458674938,0.596298297007905,0.881811817566002,roller_coaster
optimized,10.641737456159,0.575355726130404,0.561634399488543,1.02276230626962,0.641737456159018,0.257861510281837,0.9762,0.920524172822479,0.6600255823927,0.876695210218895,05_05
optimized,10.8325941783747,0.725253399906033,0.527458142950306,1.12660397110546,0.832594178374717,0.408721122131974,0.9516,1,1,1,10_05
optimized,10.7656948646138,0.800452769471598,0.521824896753246,1.28924996705889,0.765694864613761,0.40854890645162,0.9782,1,1,1,15_05
optimized,10.8868070085566,0.933461294798284,0.802500685074919,1.06837874079575,0.886807008556644,0.212065901781101,0.9994,0.9,0.9,0.9,05_10
optimized,10.8222577236928,1.03649414933158,0.918337554238024,1.17822638687384,0.822257723692829,0.350004259372937,0.9882,0.975662551638661,0.828174168322308,0.996873583365348,10_10
optimized,10.7006535355657,1.20080927059153,0.80233328587865,1.53603228732832,0.700653535565702,0.36569473904781,1,0.948017831158958,0.737492467077286,0.990570544115269,15_10
optimized,11.2728796073898,1.29836899386224,0.792253638862804,1.04224444890115,1.2728796073898,0.180520849306136,0.9918,0.918244599319161,0.668964717977673,0.926671815570444,05_15
optimized,11.2187234090494,1.41513201737191,1.00147460940718,1.00596058805039,1.21872340904939,0.216269539198482,0.991,0.932142583052045,0.313115303898787,0.926671815570444,10_15
optimized,10.9971432949046,1.56884852098586,0.990438159903601,1.39505236773565,0.997143294904604,0.231048351232949,1,0.923475458969269,0.17461395820662,0.875063865088408,15_15
