"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
origin,10.3676848449707,1.64890997210464,0.180083716047639,3.26243842523754,0.367684844970668,0.250022112456018,1,0.8,0.7,0.5,0.4,0.4,one_way
origin,10.6788930456364,1.84351086838916,0.287189526923956,2.67020280929123,0.678893045636435,0.138109497281368,0.9954,0.8,0.7,0.5,0.4,0.4,roller_coaster
origin,5.73893568801442,0.999797946927087,0.423529391384895,2.1409398416848,0.738935688014418,0.180752966138218,0.9452,0.8,0.7,0.5,0.4,0.4,05_05
origin,10.6706403008848,1.38582925674918,0.320363689583919,2.55837302085855,0.670640300884808,0.186072224744106,0.9906,0.8,0.7,0.5,0.4,0.4,10_05
origin,10.5937129094739,1.47072343962287,0.29746432396317,2.772504589947,0.593712909473909,0.169780483167706,0.999,0.8,0.7,0.5,0.4,0.4,15_05
origin,5.72279964001947,1.04385197106749,0.865935547737525,1.54877027225217,0.722799640019473,0.183370327090937,0.9158,0.8,0.7,0.5,0.4,0.4,05_10
origin,10.706466489717,1.57236040855752,0.673155449616723,2.13987948159626,0.70646648971702,0.24706501068131,0.9902,0.8,0.7,0.5,0.4,0.4,10_10
origin,10.6237265291428,1.88483051042989,0.534327698774102,2.5175872311572,0.623726529142814,0.265367233342667,0.9982,0.8,0.7,0.5,0.4,0.4,15_10
origin,10.6755519124461,1.70766483194271,0.876232528018536,1.79688884632869,0.675551912446062,0.160917297078349,0.9756,0.8,0.7,0.5,0.4,0.4,05_15
origin,10.5418634242191,2.02239869178239,0.758447604559511,2.39163524495946,0.541863424219089,0.24387475221663,0.998,0.8,0.7,0.5,0.4,0.4,10_15
origin,10.4037138079323,2.37670012543204,0.597500125173393,2.86513822521639,0.403713807932279,0.33017462825796,0.9998,0.8,0.7,0.5,0.4,0.4,15_15
optimized,10.8747952360478,1.28960891130031,0.286934406069235,2.38220022041843,0.87479523604779,0.226539312564632,0.9654,0.572853363351896,0.934705231105909,0.723710946040228,0.31627170718275,0.476351245073602,one_way
optimized,10.9157225383392,1.72704769698476,0.337854906465967,2.0565235883503,0.91572253833921,0.141310438636699,0.9528,0.704195043878839,0.444226187188178,0.651215530101156,0.655955862412952,0.389500771416351,roller_coaster
optimized,10.8108450195584,1.29262670179108,0.340059938064042,2.17030819955678,0.810845019558436,0.27784441202739,0.9664,0.805343379080296,0.861929486272857,0.948423931421712,0.807091345405206,0.91301522240974,05_05
optimized,10.896808760787,1.46613961351619,0.302089309085472,2.11550499764267,0.896808760786962,0.236599163482477,0.9546,0.740587789213155,0.742340111896672,0.985662204911932,0.349466929287436,0.345141313230802,10_05
optimized,10.9211731401414,1.46001967652241,0.308686536488832,2.10032952590299,0.921173140141353,0.215164307175827,0.9576,0.646130081989078,0.694532795632942,0.764427276561565,0.764103881794489,0.61309779089928,15_05
optimized,10.7385779440503,1.1985001847645,0.804215805864556,1.79579131042544,0.738577944050327,0.177721317679589,0.9612,0.862022923537818,0.236115793324498,0.903103161634829,0.778504988694462,0.683626944919869,05_10
optimized,10.7833862966525,1.3195402122496,0.769830040994767,1.77993443707725,0.783386296652549,0.231120805722124,0.9506,0.718033603966584,0.478672048826802,0.588420149543339,0.40934244042833,0.72914768945617,10_10
optimized,10.8478474245681,1.56099246909493,0.681026760562791,1.73801236816656,0.847847424568092,0.296195607544185,0.951,0.585017367026618,0.934125450412558,0.707248368587413,0.327988452283246,0.310928758167214,15_10
optimized,10.6921778247451,1.69725172166885,0.882372575295321,1.72764128921489,0.692177824745061,0.150266707368749,0.9622,0.803426143085313,0.454591185535063,0.503217877662689,0.693148515166235,0.770325492509141,05_15
optimized,10.6806895112283,1.80334933239757,0.844547239830267,1.87502365151908,0.680689511228259,0.148221273477744,0.9506,0.769841419998556,0.493541307048872,0.477619622135535,0.0842469143681228,0.711121222469956,10_15
optimized,10.7171829526144,1.73717110614761,0.854069687883927,1.8417802181609,0.717182952614389,0.201587684434594,0.9514,0.568531465465325,0.532313533203826,0.462662735894783,0.199632807443681,0.502978001956729,15_15
