"name","fitness","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk","Btarget","Blimit","delta1","delta2","delta3","scenario"
origin,10.1834025567652,1.3746106031906,0.165964841076665,3.01448664727083,0.183402556765176,0.270952968089781,1,0.8,0.7,0.5,0.4,0.4,one_way
origin,10.3382845463124,1.49702849669861,0.249228254768089,2.82423541283454,0.338284546312414,0.121954732583095,1,0.8,0.7,0.5,0.4,0.4,roller_coaster
origin,10.5424005320584,0.857818919195582,0.433922831460243,2.13886084750678,0.542400532058438,0.150418348545165,0.9898,0.8,0.7,0.5,0.4,0.4,05_05
origin,10.3947673655483,1.19014644552683,0.297977028787238,2.60101755101048,0.394767365548254,0.18506582392801,0.9998,0.8,0.7,0.5,0.4,0.4,10_05
origin,10.3121813528789,1.25745849493949,0.280113910687258,2.76365871409197,0.312181352878869,0.16668632803814,1,0.8,0.7,0.5,0.4,0.4,15_05
origin,10.7285523597303,1.15578014014389,0.804720479367288,1.6896621324584,0.728552359730271,0.124534363467721,0.9978,0.8,0.7,0.5,0.4,0.4,05_10
origin,10.5442337648237,1.54765323293594,0.635454480232861,2.29131852961851,0.544233764823673,0.224552092203094,1,0.8,0.7,0.5,0.4,0.4,10_10
origin,10.4050815807672,1.81763930682213,0.459021202250147,2.71867687630568,0.405081580767183,0.265409924055423,1,0.8,0.7,0.5,0.4,0.4,15_10
origin,10.7412054504499,1.87001862843012,0.743685492448741,1.98724437866566,0.741205450449948,0.113970169092155,1,0.8,0.7,0.5,0.4,0.4,05_15
origin,10.5329632514062,2.0456635047993,0.706866784530957,2.4084043206373,0.532963251406225,0.207800391318279,1,0.8,0.7,0.5,0.4,0.4,10_15
origin,10.3372189492426,2.29900713572158,0.541905961013848,2.85571485398053,0.337218949242617,0.315804507702385,1,0.8,0.7,0.5,0.4,0.4,15_15
optimized,10.8693146383496,0.714763831104034,0.469417736963758,1.63112468949964,0.869314638349555,0.192986831245654,0.9506,0.384103718213737,0.599565825425088,0.692731556482613,0.766310670645908,0.202692255144939,one_way
optimized,11.0249118950549,1.22248699909429,0.398099230968468,1.69041506566723,1.02491189505494,0.117547104056153,0.951,0.485844137709423,0.499429811822572,0.61985810078694,0.620573376927854,0.506125287485934,roller_coaster
optimized,10.817597377364,0.837638078741969,0.437941096816191,1.6287776340381,0.817597377364021,0.224051679727379,0.9502,0.731396940598303,0.682021054712238,0.955014623931237,0.57466839669592,0.626336617553501,05_05
optimized,10.9184350363856,0.997015090103525,0.386377041779312,1.73523013769277,0.918435036385561,0.205004121296049,0.9652,0.637488388693056,0.586174460752037,0.966294348924683,0.24157932801164,0.269191718147306,10_05
optimized,10.9446095279459,0.877538720486157,0.45862307100248,1.66244138709045,0.944609527945872,0.162492433467838,0.9622,0.531755108141328,0.432203317308527,0.865193614470586,0.423843455024288,0.389500771416351,15_05
optimized,10.8252946734976,1.03677895166231,0.872249847202488,1.32930970187892,0.82529467349757,0.125894645312712,0.9524,0.740398676371561,0.114746522158384,0.629065825169861,0.404759074346251,0.450502608563696,05_10
optimized,10.8706723955688,1.24347188888496,0.786849123875263,1.47712323422643,0.870672395568848,0.322017706356757,0.968,0.594722312856409,0.674913653714569,0.981580291450841,0.368055170158335,0.385245204987979,10_10
optimized,10.9338757760793,1.24497611583556,0.775133811589881,1.49755931736595,0.93387577607932,0.222044848678543,0.9514,0.497699242085218,0.186217601411045,0.8612094768323,0.875321330036968,0.121691921027377,15_10
optimized,10.9516367711817,1.71201764582753,0.845194994989483,1.41100573050486,0.951636771181679,0.100295421034613,0.973,0.665144536697665,0.331651977066919,0.492555504148018,0.204957130912532,0.647868008690925,05_15
optimized,10.8508855595789,1.66059784914682,0.937334467763424,1.43190160579059,0.850885559578896,0.151762526511346,0.95,0.558311158441833,0.174932552630757,0.571780215596833,0.451066276908622,0.534042802239758,10_15
optimized,10.8925433333916,1.78334175562823,0.871333820680273,1.5706000402787,0.892543333391558,0.0826342835370226,0.9658,0.37212389963679,0.777445221319795,0.107943625887856,0.0994661601725966,0.333774930797517,15_15
