"fish","scenario","HCR","RSB_short","RC_short","RSB_long","RC_long","AAV","Blim_risk"
"Anchovy","one_way","rfb_rule","1.16711045446186","0.173772908276139","4.36046274552209","0.0580908899268526","0.642275664539248","0.992777777777778"
"Anchovy","one_way","type2_rule","1.5631524535573","0.167698080475227","4.00385507317151","0.0807198473009072","0.204184187191515","0.901851851851852"
"Anchovy","one_way","rfb_Cave","0.414783183770265","0.257845289296281","3.75767507166728","0.138933095861728","0.275709090448659","0.968333333333333"
"Anchovy","one_way","type2_f","1.53333549826473","0.171194060050929","3.70987600044145","0.141371229781158","0.223248011146566","0.892037037037037"
"Anchovy","one_way","chr_rule","1.89531686791825","0.136354549506139","3.75268397411999","0.346135598713962","0.47021645754309","0.999074074074074"
"Anchovy","roller_coaster","rfb_rule","1.71418011175639","0.285802189593857","3.80722058452918","0.228571139273083","0.427546795646037","0.982407407407407"
"Anchovy","roller_coaster","type2_rule","2.38298573405909","0.185318560667906","4.17343058391456","0.146622197997889","0.128456377207253","0.980740740740741"
"Anchovy","roller_coaster","rfb_Cave","1.70773807623258","0.296147947990194","3.64409649983803","0.25661723613055","0.163147234473569","0.969814814814815"
"Anchovy","roller_coaster","type2_f","2.31205658466722","0.187810481660772","3.72870720620909","0.251927939848351","0.153537276300789","0.95462962962963"
"Anchovy","roller_coaster","chr_rule","2.38197468495356","0.194022743537995","3.28733129303084","0.449079722313597","0.268091321802966","0.996296296296296"
"Anchovy","confusion","rfb_rule","1.84536247801038","0.392715927814735","4.00108847439453","0.159591897491387","0.435527842339035","0.982592592592593"
"Anchovy","confusion","type2_rule","2.02095315164119","0.361397910422101","3.83564567089605","0.159459264347959","0.176164974313949","0.910740740740741"
"Anchovy","confusion","rfb_Cave","1.42718464599953","0.45749030131751","3.36995079729126","0.285086543366571","0.184478259632964","0.945740740740741"
"Anchovy","confusion","type2_f","1.99847833423463","0.37726477690647","3.50958153496898","0.211483710113934","0.201338376919477","0.882592592592593"
"Anchovy","confusion","chr_rule","2.11972389722279","0.345570369137225","3.15104367939915","0.420740289493328","0.289844659942168","0.968518518518519"
